name;type;description;imagePath;image_source;description_source
Abricot;Fruit;"L’abricot est une drupe de couleur orangée à maturité, de 3 à 5 cm de large. C’est un fruit estival consommé depuis longtemps, largement apprécié et répandu.
L’abricot doit être récolté bien mûr, car il ne mûrit plus une fois cueilli. Sa chair est alors ferme, juteuse, sucrée et parfumée. C’est un fruit très apprécié frais, mais que l’on consomme également souvent séché. Il rentre également dans la préparation de confitures, de boissons, de pâtisseries et de divers plats salés.";abricot.jpg;;https://tous-les-fruits.com/abricot/
Ail;Légume;"Sa culture, très simple, ne demande pas d’attention particulière et les espèces produites en France proposent un large éventail de goûts. En cuisine, ce condiment relève et sublime les saveurs, tout en participant à votre bien-être grâce à ses atouts nutritionnels. 
";ail.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/ail
Amande;Fruit;L’amande est une drupe, dont l’enveloppe extérieure, de couleur verte, sèche à maturité et se fend, pour révéler une noix dure. La coque renferme une amande, qui est la partie consommée du fruit.;amande.jpg;;https://tous-les-fruits.com/amande/
Aneth;Plante aromatique;Communément appelé fenouil bâtard, faux anis, fenouil puant, l’aneth est une espèce annuelle à tige lisse, pouvant atteindre 1,5 m de haut, avec des feuilles filiformes extrêmement découpées de couleur vert bleuté;aneth.jpg;;https://www.snhf.org/fiche-plante/aneth/#:~:text=Principaux%20types%20%3A%20Commun%C3%A9ment%20appel%C3%A9%20fenouil,nombreuses%20fleurs%20jaune%20verd%C3%A2tre%20parfum%C3%A9es.
Artichaut;Légume;"Cette fleur comestible à la saveur fine garnit les tables au printemps et à l’été. Délicate et généreuse, la chair de l’artichaut est gorgée d’antioxydants. 
";artichaut.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/artichaut
Asperge;Légume;"Elle se déguste simplement avec un panaché de vinaigrettes ou se cuisine en gratin, en velouté, etc. Longtemps considérée comme un produit de luxe, elle est aujourd’hui beaucoup plus abordable. 
";asperge.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/asperge
Aubergine;Légume;La plus fréquente sur les étals est l’aubergine violette, à la chair blanche et moelleuse.;aubergine.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-fruits/aubergine
Banane;Fruit;La banane est le fruit exotique du bananier. Derrière sa peau épaisse, la banane renferme une pulpe blanc ivoire plus ou moins sucrée selon les variétés. Jaune ou verte, elle possède une forme allongée et légèrement incurvée.;banane.jpg;;https://fr.wikimini.org/wiki/Banane#:~:text=La%20banane%20est%20le%20fruit,forme%20allong%C3%A9e%20et%20l%C3%A9g%C3%A8rement%20incurv%C3%A9e.
Basilic;Plante aromatique;"Le basilic est une plante herbacée utilisée en tant qu'aromate en cuisine. Sa saveur parfumée est caractéristique des plats italiens mais il est également très utilisé dans les pays asiatiques notamment en Thaïlande.
";basilic.jpg;;https://www.passeportsante.net/fr/Nutrition/EncyclopedieAliments/Fiche.aspx?doc=basilic_nu
Betterave;Légume;Son goût très doux et sucré, délicat, est apprécié en crudités ou cuisiné et accommodé. Pensez à l’intégrer à vos menus hebdomadaires, dès qu’elle est présente sur les étals, pour bénéficier de toutes les vitamines et les nutriments qu’elle contient. ;betterave.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/betterave
Blette;Légume;Si sa culture s’est réduite depuis le début du XXe siècle, elle n’en reste pas moins appréciée, pour sa saveur douce et sa texture fondante et on la trouve sur la plupart des marchés. Ce légume très méridional est un délicieux accompagnement qui peut être cuisiné de multiples façons, sans compter qu’il concentre quantité de vertus nutritionnelles. ;blette.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/blette
Brocoli;Légume;Ce grand parent du chou-fleur est présent depuis quelques dizaines d’années sur les étals français, et a très vite su se faire une place dans les assiettes. Son goût très doux et son croquant font des merveilles dans tous types de recettes salées. Gorgé de vitamines, ce légume vert participe en plus à votre bien-être !;brocoli.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/brocoli
Brugnon;Fruit;Variété de pêche à peau lisse, à noyau adhérent, de belle couleur rouge et dorée, dont la saveur rappelle la prune;brugnon.jpg;;https://www.cnrtl.fr/definition/brugnon#:~:text=masc.-,BRUGNON%2C%20subst.,envoie%20%C3%A0%20MmeJoigneau.
Carotte;Légume;Elle renferme de très nombreux minéraux et vitamines. D’après l’adage, elle rendrait même aimable…;carotte.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/carotte
Cassis;Fruit;Ses fruits acidulés et juteux se consomment aussi bien nature que préparés en dessert ou sous forme de liqueur et de crème. ;cassis.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/cassis
